"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP035988","SRR1146076","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315608: CASP1234; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315608"
"SRP035988","SRR1146077","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315609: M3059; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315609"
"SRP035988","SRR1146078","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315610: M3171; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315610"
"SRP035988","SRR1146079","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315612: M3418; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315612"
"SRP035988","SRR1146080","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315613: M3978; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315613"
"SRP035988","SRR1146081","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315615: M4208; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315615"
"SRP035988","SRR1146082","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315617: M4257; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315617"
"SRP035988","SRR1146083","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315618: M4271; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315618"
"SRP035988","SRR1146084","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315618: M4271; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315618"
"SRP035988","SRR1146085","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315621: M4277; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315621"
"SRP035988","SRR1146086","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315621: M4277; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315621"
"SRP035988","SRR1146087","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315623: M4284; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315623"
"SRP035988","SRR1146088","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315625: M4288; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315625"
"SRP035988","SRR1146089","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315627: M4294; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315627"
"SRP035988","SRR1146090","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315629: M4298; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315629"
"SRP035988","SRR1146091","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315630: M4310; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315630"
"SRP035988","SRR1146092","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315631: M4334; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315631"
"SRP035988","SRR1146093","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315632: M4344; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315632"
"SRP035988","SRR1146094","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315633: M4356; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315633"
"SRP035988","SRR1146095","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315634: M4368; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315634"
"SRP035988","SRR1146096","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315635: M4379; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315635"
"SRP035988","SRR1146097","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315636: M4389; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315636"
"SRP035988","SRR1146098","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315637: M4390; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315637"
"SRP035988","SRR1146099","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315637: M4390; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315637"
"SRP035988","SRR1146100","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315638: M4397; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315638"
"SRP035988","SRR1146101","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315639: M4459; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315639"
"SRP035988","SRR1146102","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315640: M4505; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315640"
"SRP035988","SRR1146103","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315641: M4532; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315641"
"SRP035988","SRR1146104","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315642: M4545; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315642"
"SRP035988","SRR1146105","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315643: M4616; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315643"
"SRP035988","SRR1146106","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315644: M4649; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315644"
"SRP035988","SRR1146107","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315645: M4689; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315645"
"SRP035988","SRR1146108","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315646: M4701; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315646"
