"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP035988","SRR1146109","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315647: M4708; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315647"
"SRP035988","SRR1146110","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315648: M4787; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315648"
"SRP035988","SRR1146111","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315649: M4874; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315649"
"SRP035988","SRR1146112","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315650: M4934; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315650"
"SRP035988","SRR1146113","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315651: M4977; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315651"
"SRP035988","SRR1146114","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315652: M4981; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315652"
"SRP035988","SRR1146115","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315653: M4999; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315653"
"SRP035988","SRR1146116","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315654: M5030; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315654"
"SRP035988","SRR1146117","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315655: M5063; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315655"
"SRP035988","SRR1146118","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315656: M5079; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315656"
"SRP035988","SRR1146119","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315657: M5130; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315657"
"SRP035988","SRR1146120","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315658: M5142; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315658"
"SRP035988","SRR1146121","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315659: M5144; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315659"
"SRP035988","SRR1146122","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315660: M5146; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315660"
"SRP035988","SRR1146123","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315661: M5177; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315661"
"SRP035988","SRR1146124","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315662: M5219; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315662"
"SRP035988","SRR1146125","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315663: M5223; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315663"
"SRP035988","SRR1146126","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315664: M5243; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315664"
"SRP035988","SRR1146127","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315665: M5247; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315665"
"SRP035988","SRR1146128","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315666: M5258; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315666"
"SRP035988","SRR1146129","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315667: M5286; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315667"
"SRP035988","SRR1146130","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315668: M5305; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315668"
"SRP035988","SRR1146131","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315669: M5324; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315669"
"SRP035988","SRR1146132","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315670: M5385; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315670"
"SRP035988","SRR1146133","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315671: M5414; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315671"
"SRP035988","SRR1146134","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315672: M5441; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315672"
"SRP035988","SRR1146135","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315673: M5478; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315673"
"SRP035988","SRR1146136","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315674: M5592; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315674"
"SRP035988","SRR1146137","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315675: M5611; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315675"
"SRP035988","SRR1146138","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315676: M5742; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315676"
"SRP035988","SRR1146139","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315677: M5766; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315677"
"SRP035988","SRR1146140","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315678: M582; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315678"
"SRP035988","SRR1146141","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315679: M5849; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315679"
"SRP035988","SRR1146142","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315680: M5883; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315680"
"SRP035988","SRR1146143","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315681: M5904; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315681"
"SRP035988","SRR1146144","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315682: M5917; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315682"
"SRP035988","SRR1146145","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315683: M5936; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315683"
"SRP035988","SRR1146146","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315684: M9003; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315684"
"SRP035988","SRR1146147","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315685: M6153; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315685"
"SRP035988","SRR1146148","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315686: M6171; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315686"
"SRP035988","SRR1146149","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315687: M6245; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315687"
"SRP035988","SRR1146150","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315688: M6346; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315688"
"SRP035988","SRR1146151","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315689: M6390; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315689"
"SRP035988","SRR1146152","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315690: M6690; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315690"
"SRP035988","SRR1146153","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315691: M6708; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315691"
"SRP035988","SRR1146154","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315692: M6782; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315692"
"SRP035988","SRR1146155","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315693: M6794; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315693"
"SRP035988","SRR1146156","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315694: M6844; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315694"
"SRP035988","SRR1146157","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315695: M6861; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315695"
"SRP035988","SRR1146158","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315696: M6953; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315696"
"SRP035988","SRR1146159","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315697: M7003; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315697"
"SRP035988","SRR1146160","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315698: M7168; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315698"
"SRP035988","SRR1146161","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315699: M7204; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315699"
"SRP035988","SRR1146162","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315700: M7252; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315700"
"SRP035988","SRR1146163","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315701: M7264; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315701"
"SRP035988","SRR1146164","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315702: M7305; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315702"
"SRP035988","SRR1146165","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315703: M7450; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315703"
"SRP035988","SRR1146166","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315704: M7473; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315704"
"SRP035988","SRR1146167","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315705: M7588; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315705"
"SRP035988","SRR1146168","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315706: M7600; Homo sapiens; RNA-Seq","source_name;;Psoriasis_skin|tissue type;;lesional psoriatic skin","GEO Accession;;GSM1315706"
"SRP035988","SRR1146169","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315707: M7605; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315707"
"SRP035988","SRR1146170","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315708: M7642; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315708"
"SRP035988","SRR1146171","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315709: M7647; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315709"
"SRP035988","SRR1146172","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315710: M7651; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315710"
"SRP035988","SRR1146173","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315711: M7663; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315711"
"SRP035988","SRR1146174","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315712: M7664; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315712"
"SRP035988","SRR1146175","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315713: M7669; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315713"
"SRP035988","SRR1146176","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315714: M7670; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315714"
"SRP035988","SRR1146177","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315715: M7682; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315715"
"SRP035988","SRR1146178","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315716: M7684; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315716"
"SRP035988","SRR1146179","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315717: M7685; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315717"
"SRP035988","SRR1146180","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315718: M7701; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315718"
"SRP035988","SRR1146181","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315719: M7702; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315719"
"SRP035988","SRR1146182","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315720: M7704; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315720"
"SRP035988","SRR1146183","Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms","GSM1315721: M7710; Homo sapiens; RNA-Seq","source_name;;normal_skin|tissue type;;normal skin","GEO Accession;;GSM1315721"
