"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP144926","SRR7132141","I?B? is a key transcriptional regulator of IL-36-driven psoriasis-related gene expression in keratinocytes","RNASeq of IL-36 treated human primary keratinocytes","age;;Not defined (usually between 0-6 years old)|biomaterial_provider;;University Hospital of Tuebingen|BioSampleModel;;Human|isolate;;KRA114|sex;;male|tissue;;Foreskin",NA
"SRP144926","SRR7132142","I?B? is a key transcriptional regulator of IL-36-driven psoriasis-related gene expression in keratinocytes","RNASeq of IL-36 treated human primary keratinocytes","age;;Not defined (usually between 0-6 years old)|biomaterial_provider;;University Hospital of Tuebingen|BioSampleModel;;Human|isolate;;KRA115|sex;;male|tissue;;Foreskin",NA
"SRP144926","SRR7132143","I?B? is a key transcriptional regulator of IL-36-driven psoriasis-related gene expression in keratinocytes","RNASeq of IL-36 treated human primary keratinocytes","age;;Not defined (usually between 0-6 years old)|biomaterial_provider;;University Hospital of Tuebingen|BioSampleModel;;Human|isolate;;KRA116|sex;;male|tissue;;Foreskin",NA
"SRP144926","SRR7132144","I?B? is a key transcriptional regulator of IL-36-driven psoriasis-related gene expression in keratinocytes","RNASeq of IL-36 treated human primary keratinocytes","age;;Not defined (usually between 0-6 years old)|biomaterial_provider;;University Hospital of Tuebingen|BioSampleModel;;Human|isolate;;KRA117|sex;;male|tissue;;Foreskin",NA
"SRP144926","SRR7132145","I?B? is a key transcriptional regulator of IL-36-driven psoriasis-related gene expression in keratinocytes","RNASeq of IL-36 treated human primary keratinocytes","age;;Not defined (usually between 0-6 years old)|biomaterial_provider;;University Hospital of Tuebingen|BioSampleModel;;Human|isolate;;KRA110|sex;;male|tissue;;Foreskin",NA
"SRP144926","SRR7132146","I?B? is a key transcriptional regulator of IL-36-driven psoriasis-related gene expression in keratinocytes","RNASeq of IL-36 treated human primary keratinocytes","age;;Not defined (usually between 0-6 years old)|biomaterial_provider;;University Hospital of Tuebingen|BioSampleModel;;Human|isolate;;KRA111|sex;;male|tissue;;Foreskin",NA
"SRP144926","SRR7132147","I?B? is a key transcriptional regulator of IL-36-driven psoriasis-related gene expression in keratinocytes","RNASeq of IL-36 treated human primary keratinocytes","age;;Not defined (usually between 0-6 years old)|biomaterial_provider;;University Hospital of Tuebingen|BioSampleModel;;Human|isolate;;KRA112|sex;;male|tissue;;Foreskin",NA
"SRP144926","SRR7132148","I?B? is a key transcriptional regulator of IL-36-driven psoriasis-related gene expression in keratinocytes","RNASeq of IL-36 treated human primary keratinocytes","age;;Not defined (usually between 0-6 years old)|biomaterial_provider;;University Hospital of Tuebingen|BioSampleModel;;Human|isolate;;KRA113|sex;;male|tissue;;Foreskin",NA
"SRP144926","SRR7132149","I?B? is a key transcriptional regulator of IL-36-driven psoriasis-related gene expression in keratinocytes","RNASeq of IL-36 treated human primary keratinocytes","age;;Not defined (usually between 0-6 years old)|biomaterial_provider;;University Hospital of Tuebingen|BioSampleModel;;Human|isolate;;KRA108|sex;;male|tissue;;Foreskin",NA
"SRP144926","SRR7132150","I?B? is a key transcriptional regulator of IL-36-driven psoriasis-related gene expression in keratinocytes","RNASeq of IL-36 treated human primary keratinocytes","age;;Not defined (usually between 0-6 years old)|biomaterial_provider;;University Hospital of Tuebingen|BioSampleModel;;Human|isolate;;KRA109|sex;;male|tissue;;Foreskin",NA
