"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP165679","SRR8052819","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427979: PSO_020_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427979"
"SRP165679","SRR8052820","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427980: PSO_020_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427980"
"SRP165679","SRR8052821","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427981: PSO_023_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427981"
"SRP165679","SRR8052822","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427982: PSO_023_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427982"
"SRP165679","SRR8052823","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427983: PSO_024_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427983"
"SRP165679","SRR8052824","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427984: PSO_024_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427984"
"SRP165679","SRR8052825","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427985: PSO_027_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427985"
"SRP165679","SRR8052826","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427986: PSO_027_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427986"
"SRP165679","SRR8052827","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427987: PSO_028_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427987"
"SRP165679","SRR8052828","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427988: PSO_028_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427988"
