"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP116922","SRR6006629","T cell activation in skin explants from patients with psoriasis and controls","GSM2772346: H1_Der_CD3_FPKM; Homo sapiens; RNA-Seq","condition;;Healthy|source_name;;c21.15 Q 3|tissue;;Dermis|treatment;;CD3 antibody","GEO Accession;;GSM2772346"
"SRP116922","SRR6006630","T cell activation in skin explants from patients with psoriasis and controls","GSM2772347: H1_Der_Iso_FPKM; Homo sapiens; RNA-Seq","condition;;Healthy|source_name;;c21.15 Q 4|tissue;;Dermis|treatment;;Isotype control","GEO Accession;;GSM2772347"
"SRP116922","SRR6006631","T cell activation in skin explants from patients with psoriasis and controls","GSM2772348: H1_Epi_CD3_FPKM; Homo sapiens; RNA-Seq","condition;;Healthy|source_name;;c21.15 Q 5|tissue;;Epidermis|treatment;;CD3 antibody","GEO Accession;;GSM2772348"
"SRP116922","SRR6006632","T cell activation in skin explants from patients with psoriasis and controls","GSM2772349: H1_Epi_Iso_FPKM; Homo sapiens; RNA-Seq","condition;;Healthy|source_name;;c21.15 Q 6|tissue;;Epidermis|treatment;;Isotype control","GEO Accession;;GSM2772349"
"SRP116922","SRR6006633","T cell activation in skin explants from patients with psoriasis and controls","GSM2772350: H2_Der_CD3_FPKM; Homo sapiens; RNA-Seq","condition;;Healthy|source_name;;co2.15 3|tissue;;Dermis|treatment;;CD3 antibody","GEO Accession;;GSM2772350"
"SRP116922","SRR6006634","T cell activation in skin explants from patients with psoriasis and controls","GSM2772351: H2_Der_Iso_FPKM; Homo sapiens; RNA-Seq","condition;;Healthy|source_name;;co2.15 4|tissue;;Dermis|treatment;;Isotype control","GEO Accession;;GSM2772351"
"SRP116922","SRR6006635","T cell activation in skin explants from patients with psoriasis and controls","GSM2772352: H2_Epi_CD3_FPKM; Homo sapiens; RNA-Seq","condition;;Healthy|source_name;;co2.15 5|tissue;;Epidermis|treatment;;CD3 antibody","GEO Accession;;GSM2772352"
"SRP116922","SRR6006636","T cell activation in skin explants from patients with psoriasis and controls","GSM2772353: H2_Epi_Iso_FPKM; Homo sapiens; RNA-Seq","condition;;Healthy|source_name;;co2.15 6|tissue;;Epidermis|treatment;;Isotype control","GEO Accession;;GSM2772353"
"SRP116922","SRR6006637","T cell activation in skin explants from patients with psoriasis and controls","GSM2772354: H3_Der_CD3_FPKM; Homo sapiens; RNA-Seq","condition;;Healthy|source_name;;c03.15 3|tissue;;Dermis|treatment;;CD3 antibody","GEO Accession;;GSM2772354"
"SRP116922","SRR6006638","T cell activation in skin explants from patients with psoriasis and controls","GSM2772355: H3_Der_Iso_FPKM; Homo sapiens; RNA-Seq","condition;;Healthy|source_name;;c03.15 4|tissue;;Dermis|treatment;;Isotype control","GEO Accession;;GSM2772355"
"SRP116922","SRR6006639","T cell activation in skin explants from patients with psoriasis and controls","GSM2772356: H3_Epi_CD3_FPKM; Homo sapiens; RNA-Seq","condition;;Healthy|source_name;;c03.15 5|tissue;;Epidermis|treatment;;CD3 antibody","GEO Accession;;GSM2772356"
"SRP116922","SRR6006640","T cell activation in skin explants from patients with psoriasis and controls","GSM2772357: H3_Epi_Iso_FPKM; Homo sapiens; RNA-Seq","condition;;Healthy|source_name;;c03.15 6|tissue;;Epidermis|treatment;;Isotype control","GEO Accession;;GSM2772357"
"SRP116922","SRR6006641","T cell activation in skin explants from patients with psoriasis and controls","GSM2772358: IL12_23_1_Pso_Der_CD3_FPKM; Homo sapiens; RNA-Seq","condition;;psoriasis patient treated with Ustekinumab|source_name;;pp48.15 les 3|tissue;;Dermis|treatment;;CD3 antibody","GEO Accession;;GSM2772358"
"SRP116922","SRR6006642","T cell activation in skin explants from patients with psoriasis and controls","GSM2772359: IL12_23_1_Pso_Der_Iso_FPKM; Homo sapiens; RNA-Seq","condition;;psoriasis patient treated with Ustekinumab|source_name;;pp48.15 les 4|tissue;;Dermis|treatment;;Isotype control","GEO Accession;;GSM2772359"
"SRP116922","SRR6006643","T cell activation in skin explants from patients with psoriasis and controls","GSM2772360: IL12_23_1_Pso_Epi_CD3_FPKM; Homo sapiens; RNA-Seq","condition;;psoriasis patient treated with Ustekinumab|source_name;;pp48.15 les 5|tissue;;Epidermis|treatment;;CD3 antibody","GEO Accession;;GSM2772360"
"SRP116922","SRR6006644","T cell activation in skin explants from patients with psoriasis and controls","GSM2772361: IL12_23_1_Pso_Epi_Iso_FPKM; Homo sapiens; RNA-Seq","condition;;psoriasis patient treated with Ustekinumab|source_name;;pp48.15 les 6|tissue;;Epidermis|treatment;;Isotype control","GEO Accession;;GSM2772361"
"SRP116922","SRR6006645","T cell activation in skin explants from patients with psoriasis and controls","GSM2772362: IL12_23_2_Pso_Der_CD3_FPKM; Homo sapiens; RNA-Seq","condition;;psoriasis patient treated with Ustekinumab|source_name;;pp51.15 les h16 iso E 3|tissue;;Dermis|treatment;;CD3 antibody","GEO Accession;;GSM2772362"
"SRP116922","SRR6006646","T cell activation in skin explants from patients with psoriasis and controls","GSM2772363: IL12_23_2_Pso_Der_Iso_FPKM; Homo sapiens; RNA-Seq","condition;;psoriasis patient treated with Ustekinumab|source_name;;pp51.15 les h16 iso D 4|tissue;;Dermis|treatment;;Isotype control","GEO Accession;;GSM2772363"
"SRP116922","SRR6006647","T cell activation in skin explants from patients with psoriasis and controls","GSM2772364: IL12_23_2_Pso_Epi_CD3_FPKM; Homo sapiens; RNA-Seq","condition;;psoriasis patient treated with Ustekinumab|source_name;;pp51.15 les h16 iso E 5|tissue;;Epidermis|treatment;;CD3 antibody","GEO Accession;;GSM2772364"
"SRP116922","SRR6006648","T cell activation in skin explants from patients with psoriasis and controls","GSM2772365: IL12_23_2_Pso_Epi_Iso_FPKM; Homo sapiens; RNA-Seq","condition;;psoriasis patient treated with Ustekinumab|source_name;;pp51.15 les h16 iso D 6|tissue;;Epidermis|treatment;;Isotype control","GEO Accession;;GSM2772365"
"SRP116922","SRR6006649","T cell activation in skin explants from patients with psoriasis and controls","GSM2772366: IL12_23_3_Pso_Der_CD3_FPKM; Homo sapiens; RNA-Seq","condition;;psoriasis patient treated with Ustekinumab|source_name;;pp55.15 les h16 iso E 3|tissue;;Dermis|treatment;;CD3 antibody","GEO Accession;;GSM2772366"
"SRP116922","SRR6006650","T cell activation in skin explants from patients with psoriasis and controls","GSM2772367: IL12_23_3_Pso_Der_Iso_FPKM; Homo sapiens; RNA-Seq","condition;;psoriasis patient treated with Ustekinumab|source_name;;pp55.15 les h16 iso D 4|tissue;;Dermis|treatment;;Isotype control","GEO Accession;;GSM2772367"
"SRP116922","SRR6006651","T cell activation in skin explants from patients with psoriasis and controls","GSM2772368: IL12_23_3_Pso_Epi_CD3_FPKM; Homo sapiens; RNA-Seq","condition;;psoriasis patient treated with Ustekinumab|source_name;;pp55.15 les h16 iso E 5|tissue;;Epidermis|treatment;;CD3 antibody","GEO Accession;;GSM2772368"
"SRP116922","SRR6006652","T cell activation in skin explants from patients with psoriasis and controls","GSM2772369: IL12_23_3_Pso_Epi_Iso_FPKM; Homo sapiens; RNA-Seq","condition;;psoriasis patient treated with Ustekinumab|source_name;;pp55.15 les h16 iso D 6|tissue;;Epidermis|treatment;;Isotype control","GEO Accession;;GSM2772369"
"SRP116922","SRR6006653","T cell activation in skin explants from patients with psoriasis and controls","GSM2772370: Unt1_Pso_Der_CD3_FPKM; Homo sapiens; RNA-Seq","condition;;patient with untreated Lesional Psoriasis|source_name;;pp22.15 h16 5|tissue;;Dermis|treatment;;CD3 antibody","GEO Accession;;GSM2772370"
