"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP116922","SRR6006654","T cell activation in skin explants from patients with psoriasis and controls","GSM2772371: Unt1_Pso_Der_Iso_FPKM; Homo sapiens; RNA-Seq","condition;;patient with untreated Lesional Psoriasis|source_name;;pp22.15 h16 6|tissue;;Dermis|treatment;;Isotype control","GEO Accession;;GSM2772371"
"SRP116922","SRR6006655","T cell activation in skin explants from patients with psoriasis and controls","GSM2772372: Unt1_Pso_Epi_CD3_FPKM; Homo sapiens; RNA-Seq","condition;;patient with untreated Lesional Psoriasis|source_name;;pp22.15 h16 7|tissue;;Epidermis|treatment;;CD3 antibody","GEO Accession;;GSM2772372"
"SRP116922","SRR6006656","T cell activation in skin explants from patients with psoriasis and controls","GSM2772373: Unt1_Pso_Epi_Iso_FPKM; Homo sapiens; RNA-Seq","condition;;patient with untreated Lesional Psoriasis|source_name;;pp22.15 h16 8|tissue;;Epidermis|treatment;;Isotype control","GEO Accession;;GSM2772373"
"SRP116922","SRR6006657","T cell activation in skin explants from patients with psoriasis and controls","GSM2772374: Unt2_Pso_Der_CD3_FPKM; Homo sapiens; RNA-Seq","condition;;patient with untreated Lesional Psoriasis|source_name;;pp28.15 h16 3|tissue;;Dermis|treatment;;CD3 antibody","GEO Accession;;GSM2772374"
"SRP116922","SRR6006658","T cell activation in skin explants from patients with psoriasis and controls","GSM2772375: Unt2_Pso_Der_Iso_FPKM; Homo sapiens; RNA-Seq","condition;;patient with untreated Lesional Psoriasis|source_name;;pp28.15 h16 4|tissue;;Dermis|treatment;;Isotype control","GEO Accession;;GSM2772375"
"SRP116922","SRR6006659","T cell activation in skin explants from patients with psoriasis and controls","GSM2772376: Unt2_Pso_Epi_CD3_FPKM; Homo sapiens; RNA-Seq","condition;;patient with untreated Lesional Psoriasis|source_name;;pp28.15 h16 5|tissue;;Epidermis|treatment;;CD3 antibody","GEO Accession;;GSM2772376"
"SRP116922","SRR6006660","T cell activation in skin explants from patients with psoriasis and controls","GSM2772377: Unt2_Pso_Epi_Iso_FPKM; Homo sapiens; RNA-Seq","condition;;patient with untreated Lesional Psoriasis|source_name;;pp28.15 h16 6|tissue;;Epidermis|treatment;;Isotype control","GEO Accession;;GSM2772377"
"SRP116922","SRR6006661","T cell activation in skin explants from patients with psoriasis and controls","GSM2772378: Unt3_Pso_Der_CD3_FPKM; Homo sapiens; RNA-Seq","condition;;patient with untreated Lesional Psoriasis|source_name;;pp38.15 h16 iso 3|tissue;;Dermis|treatment;;CD3 antibody","GEO Accession;;GSM2772378"
"SRP116922","SRR6006662","T cell activation in skin explants from patients with psoriasis and controls","GSM2772379: Unt3_Pso_Der_Iso_FPKM; Homo sapiens; RNA-Seq","condition;;patient with untreated Lesional Psoriasis|source_name;;pp38.15 h16 iso 4|tissue;;Dermis|treatment;;Isotype control","GEO Accession;;GSM2772379"
"SRP116922","SRR6006663","T cell activation in skin explants from patients with psoriasis and controls","GSM2772380: Unt3_Pso_Epi_CD3_FPKM; Homo sapiens; RNA-Seq","condition;;patient with untreated Lesional Psoriasis|source_name;;pp38.15 h16 act 5|tissue;;Epidermis|treatment;;CD3 antibody","GEO Accession;;GSM2772380"
"SRP116922","SRR6006664","T cell activation in skin explants from patients with psoriasis and controls","GSM2772381: Unt3_Pso_Epi_Iso_FPKM; Homo sapiens; RNA-Seq","condition;;patient with untreated Lesional Psoriasis|source_name;;pp38.15 h16 act 6|tissue;;Epidermis|treatment;;Isotype control","GEO Accession;;GSM2772381"
