"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP093255","SRR5009349","The mRNA expression analysis of psoriasis skin lesion mesenchymal stem cell","GSM2387327: 15Z3P5 (RNA-seq); Homo sapiens; RNA-Seq","cell type;;Skin-derived Mesenchymal stem cells|disease status;;Normal|source_name;;Mesenchymal stem cells|tissue;;Skin","GEO Accession;;GSM2387327"
"SRP093255","SRR5009344","The mRNA expression analysis of psoriasis skin lesion mesenchymal stem cell","GSM2387322: 14Z66P5 (RNA-seq); Homo sapiens; RNA-Seq","cell type;;Skin-derived Mesenchymal stem cells|disease status;;Normal|source_name;;Mesenchymal stem cells|tissue;;Skin","GEO Accession;;GSM2387322"
"SRP093255","SRR5009345","The mRNA expression analysis of psoriasis skin lesion mesenchymal stem cell","GSM2387323: 14Z70P5 (RNA-seq); Homo sapiens; RNA-Seq","cell type;;Skin-derived Mesenchymal stem cells|disease status;;Normal|source_name;;Mesenchymal stem cells|tissue;;Skin","GEO Accession;;GSM2387323"
"SRP093255","SRR5009346","The mRNA expression analysis of psoriasis skin lesion mesenchymal stem cell","GSM2387324: 15Y15P5 (RNA-seq); Homo sapiens; RNA-Seq","cell type;;Skin-derived Mesenchymal stem cells|disease status;;Psoriasis|source_name;;Mesenchymal stem cells|tissue;;Skin","GEO Accession;;GSM2387324"
"SRP093255","SRR5009347","The mRNA expression analysis of psoriasis skin lesion mesenchymal stem cell","GSM2387325: 15Y26P5 (RNA-seq); Homo sapiens; RNA-Seq","cell type;;Skin-derived Mesenchymal stem cells|disease status;;Psoriasis|source_name;;Mesenchymal stem cells|tissue;;Skin","GEO Accession;;GSM2387325"
"SRP093255","SRR5009348","The mRNA expression analysis of psoriasis skin lesion mesenchymal stem cell","GSM2387326: 15Y29P5 (RNA-seq); Homo sapiens; RNA-Seq","cell type;;Skin-derived Mesenchymal stem cells|disease status;;Psoriasis|source_name;;Mesenchymal stem cells|tissue;;Skin","GEO Accession;;GSM2387326"
